supplier_id,cogs_ratio
S000,0.6866590753213011
S001,0.6391805412753497
S002,0.6047253332563332
S003,0.7494249000315423
S004,0.6352362604471946
S005,0.6402774048659351
S006,0.5827247642383339
S007,0.7089619097499859
S008,0.6887364451562977
S009,0.5941539225577521
S010,0.5664762091231685
S011,0.6860998604149426
S012,0.680902242856227
S013,0.6046519053996419
S014,0.7401727124500821
S015,0.5802115783561801
S016,0.6364669602085204
S017,0.7387231840335198
S018,0.6339454633852245
S019,0.6777051895328171
S020,0.6295188795925589
S021,0.604843040469734
S022,0.7467955295919657
S023,0.6318668012630086
S024,0.7288198407358268
S025,0.5959909211782173
S026,0.5926209408050167
S027,0.5562268165769023
S028,0.680333365075177
S029,0.6237052687447523
